x0=0,x0=1,x0=2,x0=3,x0=4,x0=5,x0=6,x0=7,x0=8,x0=9,x0=10
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
0,1,2,3,4,5,6,7,8,9,10
0,3,6,9,1,4,7,10,2,5,8
0,9,7,5,3,1,10,8,6,4,2
0,5,10,4,9,3,8,2,7,1,6
0,4,8,1,5,9,2,6,10,3,7
